Location,Area,BHK,Bathrooms,Property Age,Furnishing Status,Amenities,Price,price_per_sqft,property_age_group,luxury_score
Rajajinagar,747,1,1,3,Semi-Furnished,"Clubhouse, High-Speed Elevators, Swimming Pool",7670000.0,10267.74,New (0-3 yrs),3.3
HSR Layout,800,2,2,9,Unfurnished,"Gym, Landscaped Garden, Swimming Pool",6200000.0,7750.0,Modern (4-10 yrs),3.04
HSR Layout,1297,2,2,1,Semi-Furnished,"Jogging Track, Swimming Pool",12610000.0,9722.44,New (0-3 yrs),1.88
Indiranagar,2773,4,4,5,Semi-Furnished,"24/7 Security, Clubhouse, Covered Parking, Landscaped Garden, Swimming Pool, Tennis Court",38420000.0,13855.03,Modern (4-10 yrs),5.89
Whitefield,1683,3,2,1,Semi-Furnished,"Power Backup, Swimming Pool",10130000.0,6019.01,New (0-3 yrs),2.05
HSR Layout,1770,3,3,28,Semi-Furnished,"Intercom, Jogging Track",13020000.0,7355.93,Old (20+ yrs),1.0
Thanisandra,712,1,1,0,Furnished,"Covered Parking, Gym, High-Speed Elevators",5110000.0,7176.97,New (0-3 yrs),2.5
Koramangala,1322,3,3,0,Semi-Furnished,"24/7 Security, Clubhouse, Covered Parking, Landscaped Garden, Power Backup, Swimming Pool",19480000.0,14735.25,New (0-3 yrs),5.36
Electronic City,4114,5,5,7,Semi-Furnished,"Covered Parking, Landscaped Garden, Swimming Pool, Tennis Court",21960000.0,5337.87,Modern (4-10 yrs),4.11
HSR Layout,1305,2,2,15,Semi-Furnished,"Children's Play Area, Covered Parking, Intercom, Jogging Track, Landscaped Garden, Power Backup, Tennis Court",9370000.0,7180.08,Established (11-20 yrs),5.09
Malleshwaram,472,1,1,2,Unfurnished,"24/7 Security, Clubhouse, Jogging Track, Landscaped Garden, Power Backup, Swimming Pool",4290000.0,9088.98,New (0-3 yrs),5.18
Marathahalli,2621,4,4,3,Semi-Furnished,"24/7 Security, High-Speed Elevators, Intercom, Tennis Court",20190000.0,7703.17,New (0-3 yrs),3.3
HSR Layout,1950,3,3,16,Unfurnished,"Children's Play Area, Clubhouse, Jogging Track, Tennis Court",14990000.0,7687.18,Established (11-20 yrs),3.48
Electronic City,897,2,1,1,Furnished,"Children's Play Area, Clubhouse, Landscaped Garden, Swimming Pool",5250000.0,5852.84,New (0-3 yrs),3.84
Banashankari,1102,2,2,5,Semi-Furnished,"24/7 Security, Clubhouse, Covered Parking, Gym, Intercom, Landscaped Garden, Power Backup, Swimming Pool",7860000.0,7132.49,Modern (4-10 yrs),6.7
Sarjapur Road,1261,2,2,10,Unfurnished,"Clubhouse, Covered Parking, Intercom, Jogging Track, Landscaped Garden, Power Backup, Swimming Pool",8610000.0,6827.91,Modern (4-10 yrs),5.62
Rajajinagar,872,2,2,3,Semi-Furnished,"High-Speed Elevators, Jogging Track, Landscaped Garden, Swimming Pool",8450000.0,9690.37,New (0-3 yrs),3.57
Rajajinagar,1571,3,3,8,Unfurnished,"Children's Play Area, Gym, Landscaped Garden",15030000.0,9567.15,Modern (4-10 yrs),2.32
Electronic City,3686,4,4,14,Furnished,"Clubhouse, Jogging Track, Landscaped Garden, Tennis Court",18450000.0,5005.43,Established (11-20 yrs),3.66
Marathahalli,937,2,1,8,Furnished,"Children's Play Area, Covered Parking, Gym, High-Speed Elevators, Intercom, Jogging Track, Landscaped Garden, Power Backup",6350000.0,6776.95,Modern (4-10 yrs),5.62
Thanisandra,2893,4,3,17,Furnished,"Children's Play Area, Clubhouse, Covered Parking, Jogging Track, Landscaped Garden, Swimming Pool",18900000.0,6533.01,Established (11-20 yrs),5.09
Marathahalli,1559,3,3,3,Semi-Furnished,"Children's Play Area, Covered Parking, Gym, Intercom, Jogging Track, Landscaped Garden",11300000.0,7248.24,New (0-3 yrs),4.02
Malleshwaram,4261,5,5,1,Semi-Furnished,"Intercom, Landscaped Garden",54930000.0,12891.34,New (0-3 yrs),1.25
Jayanagar,1207,2,2,1,Unfurnished,"Clubhouse, High-Speed Elevators, Intercom, Swimming Pool, Tennis Court",14030000.0,11623.86,New (0-3 yrs),5.0
Bellandur,1105,2,2,15,Semi-Furnished,"Jogging Track, Landscaped Garden, Power Backup",7620000.0,6895.93,Established (11-20 yrs),2.05
Sarjapur Road,1069,2,2,11,Unfurnished,"Children's Play Area, Gym, Swimming Pool",5410000.0,5060.8,Established (11-20 yrs),2.86
Yelahanka,1167,2,1,1,Semi-Furnished,"Children's Play Area, High-Speed Elevators, Swimming Pool",5870000.0,5029.99,New (0-3 yrs),2.86
Hebbal,543,1,1,5,Semi-Furnished,"24/7 Security, Covered Parking, High-Speed Elevators, Intercom, Tennis Court",4110000.0,7569.06,Modern (4-10 yrs),4.02
HSR Layout,1625,3,3,0,Furnished,"Children's Play Area, Covered Parking",15640000.0,9624.62,New (0-3 yrs),1.34
Hebbal,1125,2,2,12,Semi-Furnished,"Clubhouse, Gym, Intercom, Jogging Track, Landscaped Garden, Swimming Pool",9700000.0,8622.22,Established (11-20 yrs),5.09
Hebbal,1633,3,2,3,Unfurnished,"Covered Parking, Gym, High-Speed Elevators, Intercom, Jogging Track, Power Backup, Tennis Court",13440000.0,8230.25,New (0-3 yrs),5.45
Electronic City,540,1,1,0,Unfurnished,"Clubhouse, Covered Parking, Gym, Intercom, Jogging Track, Swimming Pool, Tennis Court",2480000.0,4592.59,New (0-3 yrs),6.25
Koramangala,542,1,1,8,Semi-Furnished,"24/7 Security, Children's Play Area, Intercom",5640000.0,10405.9,Modern (4-10 yrs),1.79
Sarjapur Road,646,1,1,8,Unfurnished,"24/7 Security, Covered Parking, High-Speed Elevators, Power Backup, Tennis Court",3430000.0,5309.6,Modern (4-10 yrs),4.29
Hebbal,1119,2,2,1,Semi-Furnished,"24/7 Security, Clubhouse, Gym, High-Speed Elevators, Jogging Track, Swimming Pool",9620000.0,8596.96,New (0-3 yrs),5.45
Electronic City,938,2,2,2,Semi-Furnished,"Covered Parking, Gym, High-Speed Elevators, Landscaped Garden, Swimming Pool, Tennis Court",4820000.0,5138.59,New (0-3 yrs),5.89
Koramangala,1101,2,2,11,Furnished,"Children's Play Area, Intercom, Jogging Track, Swimming Pool",13290000.0,12070.84,Established (11-20 yrs),2.95
Koramangala,3683,5,5,10,Furnished,"24/7 Security, Clubhouse, Covered Parking",47270000.0,12834.65,Modern (4-10 yrs),2.5
Electronic City,1095,2,2,11,Unfurnished,"Children's Play Area, Clubhouse, Power Backup",3660000.0,3342.47,Established (11-20 yrs),2.41
HSR Layout,1718,3,3,0,Furnished,"24/7 Security, Intercom, Jogging Track, Power Backup",19370000.0,11274.74,New (0-3 yrs),2.41
Bellandur,783,1,1,8,Unfurnished,"24/7 Security, High-Speed Elevators, Intercom, Jogging Track, Swimming Pool, Tennis Court",5550000.0,7088.12,Modern (4-10 yrs),5.18
Indiranagar,1501,3,3,3,Furnished,"Covered Parking, High-Speed Elevators, Jogging Track, Power Backup",21650000.0,14423.72,New (0-3 yrs),2.86
Whitefield,1030,2,2,8,Furnished,"24/7 Security, Covered Parking, Gym, High-Speed Elevators, Intercom, Tennis Court",6580000.0,6388.35,Modern (4-10 yrs),4.91
Sarjapur Road,1403,3,3,8,Semi-Furnished,"Power Backup, Swimming Pool",9900000.0,7056.31,Modern (4-10 yrs),2.05
Indiranagar,2047,3,2,6,Semi-Furnished,"24/7 Security, Children's Play Area, Intercom, Landscaped Garden, Swimming Pool",27170000.0,13273.08,Modern (4-10 yrs),3.93
Thanisandra,1014,2,2,3,Unfurnished,"24/7 Security, Children's Play Area, Covered Parking, Intercom, Jogging Track, Swimming Pool",6160000.0,6074.95,New (0-3 yrs),4.38
Jayanagar,1143,2,1,4,Unfurnished,"Clubhouse, Covered Parking, Jogging Track, Swimming Pool",12260000.0,10726.16,Modern (4-10 yrs),3.66
HSR Layout,4750,5,4,5,Semi-Furnished,"24/7 Security, Gym, High-Speed Elevators, Intercom, Landscaped Garden, Swimming Pool, Tennis Court",53170000.0,11193.68,Modern (4-10 yrs),6.34
Sarjapur Road,1450,2,2,2,Semi-Furnished,"Clubhouse, Covered Parking, High-Speed Elevators, Intercom, Landscaped Garden",10280000.0,7089.66,New (0-3 yrs),3.93
Whitefield,2100,4,4,1,Semi-Furnished,"Children's Play Area, Gym",14150000.0,6738.1,New (0-3 yrs),1.52
Electronic City,1290,2,2,0,Semi-Furnished,"Children's Play Area, Swimming Pool, Tennis Court",5790000.0,4488.37,New (0-3 yrs),3.21
Indiranagar,1052,2,2,8,Semi-Furnished,"24/7 Security, Children's Play Area, Gym, Jogging Track, Landscaped Garden, Power Backup, Tennis Court",12320000.0,11711.03,Modern (4-10 yrs),5.54
Bellandur,905,2,1,2,Semi-Furnished,"24/7 Security, Covered Parking, Intercom, Jogging Track, Swimming Pool",7580000.0,8375.69,New (0-3 yrs),3.75
Whitefield,914,2,2,2,Furnished,"Covered Parking, Landscaped Garden",5220000.0,5711.16,New (0-3 yrs),1.52
HSR Layout,1573,3,3,28,Semi-Furnished,"Clubhouse, Covered Parking, High-Speed Elevators, Landscaped Garden",11980000.0,7616.02,Old (20+ yrs),3.48
Bellandur,800,2,2,4,Semi-Furnished,"Swimming Pool, Tennis Court",6120000.0,7650.0,Modern (4-10 yrs),2.59
Thanisandra,2039,3,3,0,Semi-Furnished,"24/7 Security, Covered Parking, High-Speed Elevators, Swimming Pool",14520000.0,7121.14,New (0-3 yrs),3.66
Electronic City,1722,3,2,2,Semi-Furnished,"24/7 Security, Clubhouse, Gym, Intercom",8480000.0,4924.51,New (0-3 yrs),3.12
Electronic City,2665,4,4,2,Furnished,"Covered Parking, Gym, Power Backup, Tennis Court",15800000.0,5928.71,New (0-3 yrs),3.57
Koramangala,2337,4,4,1,Semi-Furnished,"Clubhouse, Covered Parking, Intercom, Jogging Track",35020000.0,14985.02,New (0-3 yrs),2.77
Electronic City,2632,4,4,2,Furnished,"24/7 Security, Children's Play Area, Clubhouse, Covered Parking, Gym, Power Backup",15830000.0,6014.44,New (0-3 yrs),4.73
Jayanagar,1777,3,3,13,Unfurnished,"Covered Parking, Swimming Pool",18640000.0,10489.59,Established (11-20 yrs),2.05
Electronic City,1899,3,3,2,Semi-Furnished,"Clubhouse, High-Speed Elevators",9340000.0,4918.38,New (0-3 yrs),1.96
Bellandur,1077,2,2,28,Unfurnished,"Gym, High-Speed Elevators, Landscaped Garden, Power Backup, Swimming Pool",6630000.0,6155.99,Old (20+ yrs),4.64
Whitefield,1058,2,2,1,Unfurnished,"24/7 Security, Covered Parking, High-Speed Elevators, Jogging Track, Swimming Pool",6180000.0,5841.21,New (0-3 yrs),4.2
HSR Layout,664,1,1,4,Furnished,"Gym, Landscaped Garden, Swimming Pool, Tennis Court",5610000.0,8448.8,Modern (4-10 yrs),4.29
Malleshwaram,1067,2,2,4,Semi-Furnished,"Children's Play Area, Clubhouse, Gym, High-Speed Elevators, Intercom",13250000.0,12417.99,Modern (4-10 yrs),3.93
Rajajinagar,562,1,1,4,Unfurnished,"24/7 Security, Children's Play Area, Clubhouse, Landscaped Garden, Swimming Pool",5270000.0,9377.22,Modern (4-10 yrs),4.55
Malleshwaram,1719,3,3,11,Semi-Furnished,"Intercom, Landscaped Garden, Swimming Pool",16880000.0,9819.66,Established (11-20 yrs),2.59
Bellandur,1143,2,2,5,Semi-Furnished,"Children's Play Area, Intercom",7560000.0,6614.17,Modern (4-10 yrs),1.07
Banashankari,2649,4,3,5,Unfurnished,"24/7 Security, Children's Play Area, High-Speed Elevators, Power Backup",17920000.0,6764.82,Modern (4-10 yrs),2.95
Electronic City,1890,3,2,15,Semi-Furnished,"Children's Play Area, Swimming Pool",7330000.0,3878.31,Established (11-20 yrs),1.96
Whitefield,996,2,1,1,Unfurnished,"24/7 Security, Children's Play Area, Intercom, Swimming Pool",5830000.0,5853.41,New (0-3 yrs),3.12
Hebbal,1081,2,2,0,Furnished,"24/7 Security, Intercom, Swimming Pool",8890000.0,8223.87,New (0-3 yrs),2.5
Rajajinagar,1841,3,2,2,Unfurnished,"Children's Play Area, Gym, High-Speed Elevators, Jogging Track, Landscaped Garden, Power Backup, Tennis Court",18820000.0,10222.71,New (0-3 yrs),5.71
Electronic City,1726,3,3,7,Furnished,"Covered Parking, Jogging Track",9140000.0,5295.48,Modern (4-10 yrs),1.25
Electronic City,1300,3,3,14,Semi-Furnished,"Children's Play Area, Gym, High-Speed Elevators, Landscaped Garden, Power Backup, Swimming Pool, Tennis Court",6420000.0,4938.46,Established (11-20 yrs),6.52
HSR Layout,1596,3,2,22,Semi-Furnished,"24/7 Security, Clubhouse, Gym, Landscaped Garden, Power Backup",11550000.0,7236.84,Old (20+ yrs),4.2
Whitefield,552,1,1,4,Semi-Furnished,"Children's Play Area, Clubhouse, Gym, High-Speed Elevators, Intercom, Jogging Track, Power Backup, Tennis Court",3090000.0,5597.83,Modern (4-10 yrs),6.43
Rajajinagar,2655,4,3,8,Semi-Furnished,"Covered Parking, Swimming Pool",29270000.0,11024.48,Modern (4-10 yrs),2.05
Sarjapur Road,604,1,1,1,Semi-Furnished,"24/7 Security, Covered Parking, Jogging Track, Power Backup",3440000.0,5695.36,New (0-3 yrs),2.68
Whitefield,1223,2,2,15,Furnished,"High-Speed Elevators, Tennis Court",6480000.0,5298.45,Established (11-20 yrs),2.14
Marathahalli,2693,4,4,1,Unfurnished,"Children's Play Area, Jogging Track, Power Backup, Swimming Pool, Tennis Court",18510000.0,6873.38,New (0-3 yrs),4.46
Indiranagar,2257,3,2,4,Semi-Furnished,"Clubhouse, Gym, Power Backup",27230000.0,12064.69,Modern (4-10 yrs),2.68
Hebbal,1610,3,3,3,Furnished,"Covered Parking, Gym, High-Speed Elevators, Intercom, Jogging Track, Landscaped Garden, Swimming Pool",14130000.0,8776.4,New (0-3 yrs),5.62
Koramangala,1027,2,2,28,Furnished,"Children's Play Area, Intercom, Power Backup",114861500.00000003,111841.77,Old (20+ yrs),1.79
Electronic City,1082,2,2,3,Furnished,"Children's Play Area, Gym, Intercom, Jogging Track, Landscaped Garden, Power Backup",6100000.0,5637.71,New (0-3 yrs),4.02
Yelahanka,3995,5,5,0,Unfurnished,"24/7 Security, High-Speed Elevators, Intercom, Power Backup, Tennis Court",26030000.0,6515.64,New (0-3 yrs),4.02
Yelahanka,1263,2,2,0,Semi-Furnished,"24/7 Security, Clubhouse, Landscaped Garden, Tennis Court",8610000.0,6817.1,New (0-3 yrs),3.84
Bellandur,658,1,1,0,Semi-Furnished,"Clubhouse, Gym, Intercom, Jogging Track",4260000.0,6474.16,New (0-3 yrs),2.95
Malleshwaram,1062,2,2,0,Semi-Furnished,"24/7 Security, Children's Play Area, Clubhouse",11670000.0,10988.7,New (0-3 yrs),2.41
Electronic City,800,2,2,4,Semi-Furnished,"Children's Play Area, Gym, Intercom, Landscaped Garden, Swimming Pool",3370000.0,4212.5,Modern (4-10 yrs),4.11
Koramangala,1844,3,3,7,Semi-Furnished,"Clubhouse, Covered Parking, High-Speed Elevators, Landscaped Garden",22540000.0,12223.43,Modern (4-10 yrs),3.48
Banashankari,2100,4,4,7,Semi-Furnished,"Children's Play Area, Clubhouse, Intercom, Jogging Track, Power Backup",17530000.0,8347.62,Modern (4-10 yrs),3.39
Bellandur,1951,3,3,4,Semi-Furnished,"24/7 Security, Children's Play Area, Covered Parking, Gym, High-Speed Elevators, Jogging Track, Power Backup",14740000.0,7555.1,Modern (4-10 yrs),5.09
Whitefield,1497,3,3,7,Semi-Furnished,"Jogging Track, Swimming Pool, Tennis Court",8840000.0,5905.14,Modern (4-10 yrs),3.12
Indiranagar,942,2,2,8,Unfurnished,"Covered Parking, Intercom, Landscaped Garden, Swimming Pool, Tennis Court",12070000.0,12813.16,Modern (4-10 yrs),4.55
HSR Layout,850,1,1,0,Furnished,"Children's Play Area, Clubhouse, Covered Parking, Gym, Power Backup, Tennis Court",8910000.0,10482.35,New (0-3 yrs),5.27
Hebbal,2700,4,4,4,Semi-Furnished,"24/7 Security, Covered Parking, Intercom, Landscaped Garden, Tennis Court",29440000.0,10903.7,Modern (4-10 yrs),3.93
Whitefield,1054,2,2,9,Semi-Furnished,"Clubhouse, Intercom, Landscaped Garden, Swimming Pool",5330000.0,5056.93,Modern (4-10 yrs),3.66
Koramangala,2100,4,4,0,Semi-Furnished,"Children's Play Area, Clubhouse, Intercom, Landscaped Garden, Tennis Court",27710000.0,13195.24,New (0-3 yrs),4.2
HSR Layout,2429,4,3,28,Semi-Furnished,"Intercom, Jogging Track, Landscaped Garden",18510000.0,7620.42,Old (20+ yrs),1.79
Bellandur,3082,4,3,4,Unfurnished,"24/7 Security, Gym, High-Speed Elevators, Intercom, Jogging Track, Power Backup",23550000.0,7641.14,Modern (4-10 yrs),4.2
Jayanagar,1333,2,2,0,Semi-Furnished,"Children's Play Area, Clubhouse, Covered Parking, Gym, Intercom, Jogging Track, Swimming Pool",15950000.0,11965.49,New (0-3 yrs),5.62
Marathahalli,1930,3,3,13,Semi-Furnished,"24/7 Security, Clubhouse, High-Speed Elevators, Jogging Track, Landscaped Garden, Power Backup, Swimming Pool",12010000.0,6222.8,Established (11-20 yrs),6.07
Marathahalli,1166,2,2,17,Furnished,"Children's Play Area, Clubhouse, Covered Parking, Gym, Tennis Court",6690000.0,5737.56,Established (11-20 yrs),4.55
HSR Layout,906,2,2,1,Furnished,"Gym, High-Speed Elevators, Landscaped Garden, Power Backup",7260000.0,8013.25,New (0-3 yrs),3.3
Thanisandra,1069,2,2,2,Semi-Furnished,"Covered Parking, Swimming Pool",6940000.0,6492.05,New (0-3 yrs),2.05
Whitefield,952,2,2,1,Unfurnished,"24/7 Security, Children's Play Area, Clubhouse, Landscaped Garden, Power Backup, Swimming Pool",4800000.0,5042.02,New (0-3 yrs),5.27
Yelahanka,998,2,2,13,Furnished,"Clubhouse, Gym, High-Speed Elevators, Jogging Track, Power Backup, Swimming Pool",6200000.0,6212.42,Established (11-20 yrs),5.45
Sarjapur Road,831,2,2,1,Semi-Furnished,"24/7 Security, Covered Parking, Gym, Tennis Court",6440000.0,7749.7,New (0-3 yrs),3.57
Banashankari,647,1,1,3,Furnished,"24/7 Security, Children's Play Area, Power Backup",4210000.0,6506.96,New (0-3 yrs),2.05
Sarjapur Road,1599,3,2,8,Furnished,"24/7 Security, Landscaped Garden",10890000.0,6810.51,Modern (4-10 yrs),1.52
Whitefield,1123,2,2,7,Semi-Furnished,"Clubhouse, Swimming Pool",6460000.0,5752.45,Modern (4-10 yrs),2.41
Whitefield,2228,4,4,6,Semi-Furnished,"Clubhouse, Covered Parking, Jogging Track, Swimming Pool, Tennis Court",14790000.0,6638.24,Modern (4-10 yrs),4.91
Marathahalli,1226,2,1,1,Furnished,"Covered Parking, High-Speed Elevators, Jogging Track, Tennis Court",10140000.0,8270.8,New (0-3 yrs),3.39
Malleshwaram,777,1,1,1,Semi-Furnished,"Covered Parking, High-Speed Elevators, Power Backup, Swimming Pool, Tennis Court",8060000.0,10373.23,New (0-3 yrs),4.91
Thanisandra,1300,3,3,2,Furnished,"High-Speed Elevators, Jogging Track, Landscaped Garden",8520000.0,6553.85,New (0-3 yrs),2.23
Sarjapur Road,1777,3,3,9,Semi-Furnished,"Children's Play Area, Clubhouse, Intercom, Jogging Track, Landscaped Garden, Power Backup, Tennis Court",12300000.0,6921.78,Modern (4-10 yrs),5.45
Yelahanka,2626,4,3,10,Unfurnished,"Children's Play Area, Clubhouse, Gym, Jogging Track, Power Backup, Swimming Pool",13890000.0,5289.41,Modern (4-10 yrs),5.18
Electronic City,1108,2,2,11,Furnished,"24/7 Security, Children's Play Area, Covered Parking, Gym",4680000.0,4223.83,Established (11-20 yrs),2.95
Bellandur,1195,2,2,8,Furnished,"High-Speed Elevators, Intercom, Jogging Track, Landscaped Garden",8940000.0,7481.17,Modern (4-10 yrs),2.68
HSR Layout,1781,3,2,2,Unfurnished,"24/7 Security, Covered Parking, Gym, Intercom, Landscaped Garden, Power Backup, Tennis Court",18530000.0,10404.27,New (0-3 yrs),5.54
Bellandur,2563,4,4,5,Semi-Furnished,"Intercom, Tennis Court",22410000.0,8743.66,Modern (4-10 yrs),1.7
Rajajinagar,1710,3,2,4,Furnished,"Clubhouse, Intercom, Tennis Court",16020000.0,9368.42,Modern (4-10 yrs),2.77
Bellandur,1564,3,2,3,Unfurnished,"24/7 Security, Covered Parking, Tennis Court",13280000.0,8491.05,New (0-3 yrs),2.68
Malleshwaram,1300,3,2,0,Semi-Furnished,"Children's Play Area, Clubhouse, Jogging Track, Landscaped Garden, Power Backup, Tennis Court",15920000.0,12246.15,New (0-3 yrs),5.0
Koramangala,3817,5,4,7,Furnished,"Children's Play Area, Jogging Track",51180000.0,13408.44,Modern (4-10 yrs),1.16
Sarjapur Road,885,2,2,0,Unfurnished,"24/7 Security, Gym, Tennis Court",5950000.0,6723.16,New (0-3 yrs),2.86
Marathahalli,1267,2,2,7,Furnished,"Children's Play Area, Covered Parking, Gym, Jogging Track",7230000.0,5706.39,Modern (4-10 yrs),2.77
HSR Layout,1112,2,2,4,Semi-Furnished,"Children's Play Area, Clubhouse, Covered Parking, Power Backup, Swimming Pool",10620000.0,9550.36,Modern (4-10 yrs),4.46
Banashankari,1565,3,2,5,Furnished,"High-Speed Elevators, Landscaped Garden, Power Backup, Tennis Court",14530000.0,9284.35,Modern (4-10 yrs),3.66
HSR Layout,1639,3,2,0,Unfurnished,"Clubhouse, Covered Parking, Gym, Intercom, Landscaped Garden, Power Backup",14920000.0,9103.11,New (0-3 yrs),4.64
Yelahanka,2749,4,4,1,Semi-Furnished,"24/7 Security, High-Speed Elevators",18000000.0,6547.84,New (0-3 yrs),1.61
Malleshwaram,1127,2,2,1,Semi-Furnished,"Clubhouse, Intercom, Jogging Track",12490000.0,11082.52,New (0-3 yrs),2.05
Bellandur,684,1,1,6,Semi-Furnished,"Clubhouse, Gym, High-Speed Elevators, Tennis Court",4680000.0,6842.11,Modern (4-10 yrs),4.11
Koramangala,884,2,2,6,Furnished,"Children's Play Area, Covered Parking, Gym, High-Speed Elevators, Tennis Court",11440000.0,12941.18,Modern (4-10 yrs),4.38
Marathahalli,872,2,2,1,Furnished,"Gym, High-Speed Elevators, Intercom, Power Backup",5920000.0,6788.99,New (0-3 yrs),2.95
Indiranagar,614,1,1,1,Semi-Furnished,"Clubhouse, High-Speed Elevators, Landscaped Garden, Power Backup, Swimming Pool, Tennis Court",7270000.0,11840.39,New (0-3 yrs),6.07
HSR Layout,603,1,1,0,Furnished,"Children's Play Area, Clubhouse, High-Speed Elevators, Intercom, Jogging Track",6200000.0,10281.92,New (0-3 yrs),3.57
Koramangala,1043,2,2,6,Semi-Furnished,"24/7 Security, Jogging Track, Power Backup, Swimming Pool",14090000.0,13509.11,Modern (4-10 yrs),3.3
Electronic City,2027,3,3,0,Unfurnished,"Gym, High-Speed Elevators, Intercom, Jogging Track, Swimming Pool",11520000.0,5683.28,New (0-3 yrs),4.11
Hebbal,3723,5,5,2,Semi-Furnished,"24/7 Security, Children's Play Area, Clubhouse, Intercom, Swimming Pool, Tennis Court",41320000.0,11098.58,New (0-3 yrs),5.45
Electronic City,1925,3,3,7,Furnished,"Children's Play Area, Clubhouse, High-Speed Elevators, Intercom, Jogging Track, Power Backup, Swimming Pool, Tennis Court",10510000.0,5459.74,Modern (4-10 yrs),6.88
Yelahanka,722,1,1,2,Unfurnished,"Covered Parking, Gym, High-Speed Elevators, Jogging Track, Power Backup, Swimming Pool",3930000.0,5443.21,New (0-3 yrs),5.09
Electronic City,981,2,2,0,Unfurnished,"Children's Play Area, Power Backup",4050000.0,4128.44,New (0-3 yrs),1.34
Jayanagar,1300,3,3,3,Furnished,"24/7 Security, Covered Parking, High-Speed Elevators, Landscaped Garden, Power Backup, Swimming Pool",16370000.0,12592.31,New (0-3 yrs),5.18
Whitefield,2226,4,4,4,Unfurnished,"24/7 Security, Clubhouse, Intercom, Power Backup",12450000.0,5592.99,Modern (4-10 yrs),2.95
Bellandur,1136,2,2,5,Unfurnished,"24/7 Security, Covered Parking, Gym, High-Speed Elevators, Jogging Track, Landscaped Garden, Swimming Pool, Tennis Court",9420000.0,8292.25,Modern (4-10 yrs),7.14
HSR Layout,914,2,2,1,Unfurnished,"Covered Parking, High-Speed Elevators, Power Backup",7130000.0,7800.88,New (0-3 yrs),2.32
Electronic City,8200,3,2,6,Semi-Furnished,"Children's Play Area, Intercom, Swimming Pool",8000000.0,975.61,Modern (4-10 yrs),2.41
Jayanagar,2037,3,3,2,Semi-Furnished,"Children's Play Area, Clubhouse, Covered Parking, High-Speed Elevators, Power Backup",25380000.0,12459.5,New (0-3 yrs),4.02
Bellandur,2022,3,3,18,Semi-Furnished,"24/7 Security, Children's Play Area, Gym, Jogging Track",14850000.0,7344.21,Established (11-20 yrs),2.77
Sarjapur Road,617,1,1,2,Semi-Furnished,"Gym, High-Speed Elevators, Intercom, Tennis Court",3660000.0,5931.93,New (0-3 yrs),3.48
Koramangala,1863,3,2,0,Unfurnished,"24/7 Security, Gym, Intercom",22310000.0,11975.31,New (0-3 yrs),2.05
Bellandur,631,1,1,2,Furnished,"Children's Play Area, High-Speed Elevators, Intercom, Swimming Pool",4350000.0,6893.82,New (0-3 yrs),3.3
Hebbal,1647,3,2,12,Unfurnished,"Covered Parking, High-Speed Elevators, Landscaped Garden, Power Backup",14000000.0,8500.3,Established (11-20 yrs),3.12
Koramangala,700,1,1,13,Furnished,"24/7 Security, Covered Parking, Gym, High-Speed Elevators, Jogging Track, Power Backup, Tennis Court",8220000.0,11742.86,Established (11-20 yrs),5.71
Sarjapur Road,1055,2,2,16,Furnished,"Children's Play Area, Clubhouse, Gym, Intercom, Landscaped Garden, Power Backup",7010000.0,6644.55,Established (11-20 yrs),4.55
Banashankari,1276,2,2,2,Semi-Furnished,"Children's Play Area, Covered Parking, Intercom, Jogging Track, Tennis Court",9310000.0,7296.24,New (0-3 yrs),3.57
Thanisandra,1546,3,3,2,Unfurnished,"Children's Play Area, Clubhouse, Covered Parking",10350000.0,6694.7,New (0-3 yrs),2.41
Marathahalli,1922,3,3,0,Unfurnished,"24/7 Security, Covered Parking, Power Backup",12380000.0,6441.21,New (0-3 yrs),2.14
Thanisandra,1437,3,2,3,Furnished,"24/7 Security, High-Speed Elevators, Swimming Pool, Tennis Court",8070000.0,5615.87,New (0-3 yrs),4.2
Malleshwaram,1150,2,1,3,Unfurnished,"Children's Play Area, Jogging Track, Power Backup",11430000.0,9939.13,New (0-3 yrs),1.88
Whitefield,1187,2,2,0,Semi-Furnished,"Children's Play Area, Clubhouse, Covered Parking, Gym, Intercom, Landscaped Garden, Swimming Pool",7370000.0,6208.93,New (0-3 yrs),5.89
Whitefield,1300,3,3,3,Semi-Furnished,"24/7 Security, Covered Parking, Jogging Track, Swimming Pool",6760000.0,5200.0,New (0-3 yrs),3.3
Thanisandra,1164,2,2,0,Furnished,"Clubhouse, Covered Parking, Gym, Intercom, Power Backup, Tennis Court",6690000.0,5747.42,New (0-3 yrs),5.09
Koramangala,1224,2,2,3,Semi-Furnished,"Clubhouse, Gym, Intercom, Landscaped Garden, Tennis Court",13930000.0,11380.72,New (0-3 yrs),4.46
HSR Layout,1219,2,2,3,Unfurnished,"24/7 Security, Clubhouse, Jogging Track, Tennis Court",10560000.0,8662.84,New (0-3 yrs),3.57
HSR Layout,1628,3,3,1,Semi-Furnished,"Covered Parking, Landscaped Garden, Power Backup, Tennis Court",12570000.0,7721.13,New (0-3 yrs),3.48
Rajajinagar,978,2,2,16,Unfurnished,"Clubhouse, Gym, Intercom, Swimming Pool, Tennis Court",7740000.0,7914.11,Established (11-20 yrs),5.0
